id,child_table,child_field,parent_table,parent_field
1,eav_addon_date,parent_id,entity_child,id
2,eav_addon_date,ea_code,entity_attribute,code
3,eav_addon_date,user_id,user_info,id
4,eav_addon_decimal,parent_id,entity_child,id
5,eav_addon_decimal,ea_code,entity_attribute,code
6,eav_addon_decimal,user_id,user_info,id
7,eav_addon_ec_id,parent_id,entity_child,id
8,eav_addon_ec_id,ea_code,entity_attribute,code
9,eav_addon_ec_id,ec_id,entity_child,id
10,eav_addon_ec_id,user_id,user_info,id
11,eav_addon_exa_token,parent_id,entity_child,id
12,eav_addon_exa_token,ea_code,entity_attribute,code
13,eav_addon_exa_token,user_id,user_info,id
14,eav_addon_exa_token,exa_value_token,entity_child_base,token
15,eav_addon_num,parent_id,entity_child,id
16,eav_addon_num,ea_code,entity_attribute,code
17,eav_addon_num,user_id,user_info,id
18,eav_addon_text,parent_id,entity_child,id
19,eav_addon_text,ea_code,entity_attribute,code
20,eav_addon_text,user_id,user_info,id
21,eav_addon_varchar,parent_id,entity_child,id
22,eav_addon_varchar,ea_code,entity_attribute,code
23,eav_addon_varchar,user_id,user_info,id
24,eav_addon_vc128uniq,ea_code,entity_attribute,code
25,eav_addon_vc128uniq,user_id,user_info,id
26,eav_addon_vc128uniq,parent_id,entity_child,id
27,ecb_av_addon_varchar,parent_id,entity_child_base,id
28,ecb_av_addon_varchar,user_id,user_info,id
29,ecb_av_addon_varchar,ea_code,entity_attribute,code
30,ecb_parent_child_matrix,ecb_parent_id,entity_child_base,id
31,ecb_parent_child_matrix,user_id,user_info,id
32,entity,user_id,user_info,id
33,entity_attribute,entity_code,entity,code
34,entity_attribute,user_id,user_info,id
35,entity_child,user_id,user_info,id
36,entity_child,entity_code,entity,code
37,entity_child_base,entity_code,entity,code
38,entity_child_base,user_id,user_info,id
39,entity_key_value,entity_code,entity,code
40,entity_key_value,user_id,user_info,id
41,exav_addon_date,parent_id,entity_child,id
42,exav_addon_date,exa_token,entity_child_base,token
43,exav_addon_date,user_id,user_info,id
44,exav_addon_decimal,parent_id,entity_child,id
45,exav_addon_decimal,exa_token,entity_child_base,token
46,exav_addon_decimal,user_id,user_info,id
47,exav_addon_ec_id,parent_id,entity_child,id
48,exav_addon_ec_id,exa_token,entity_child_base,token
49,exav_addon_ec_id,user_id,user_info,id
50,exav_addon_ec_id,ec_id,entity_child,id
51,exav_addon_exa_token,exa_token,entity_child_base,token
52,exav_addon_exa_token,user_id,user_info,id
53,exav_addon_exa_token,parent_id,entity_child,id
54,exav_addon_num,exa_token,entity_child_base,token
55,exav_addon_num,user_id,user_info,id
56,exav_addon_num,parent_id,entity_child,id
57,exav_addon_text,exa_token,entity_child_base,token
58,exav_addon_text,user_id,user_info,id
59,exav_addon_text,parent_id,entity_child,id
60,exav_addon_varchar,exa_token,entity_child_base,token
61,exav_addon_varchar,user_id,user_info,id
62,exav_addon_varchar,parent_id,entity_child,id
63,status_info,status_code,entity_child_base,token
64,status_info,user_id,user_info,id
65,status_info,entity_code,entity,code
66,status_info,child_comm_id,entity_child,id
67,status_map,entity_code,entity,code
68,status_map,status_code_start,entity_child_base,token
69,status_map,status_code_end,entity_child_base,token
70,status_map,user_id,user_info,id
71,user_info,user_role_id,user_role,id
72,user_info,is_internal,entity_child,id
73,exav_addon_vc128uniq,exa_token,entity_child_base,token
74,exav_addon_vc128uniq,user_id,user_info,id
75,exav_addon_vc128uniq,parent_id,entity_child,id
76,user_role_permission,user_id,user_info,id
77,sys_log,action_type,entity_child_base,token
78,sys_log,page_code,ecb_parent_child_matrix,parent_child_hash
