id,table_name,field_names
1,eav_addon_date,"parent_id,ea_code,user_id,ea_value,timestamp_punch"
2,eav_addon_decimal,"parent_id,ea_code,user_id,timestamp_punch"
3,eav_addon_ec_id,"parent_id,ea_code,user_id,ec_id,timestamp_punch"
4,eav_addon_exa_token,"parent_id,ea_code,user_id,exa_value_token,timestamp_punch"
5,eav_addon_num,"parent_id,ea_code,user_id,timestamp_punch"
6,eav_addon_text,"parent_id,ea_code,user_id,timestamp_punch"
7,eav_addon_varchar,"parent_id,ea_code,user_id,timestamp_punch"
8,eav_addon_vc128uniq,"parent_id,ea_code,user_id,timestamp_punch"
9,ecb_av_addon_varchar,"parent_id,ea_code,user_id,timestamp_punch"
10,ecb_parent_child_matrix,"parent_id,ea_code,user_id,timestamp_punch"
11,entity,timestamp_punch
12,entity_attribute,"entity_code,timestamp_punch"
13,entity_child,"entity_code,user_id,timestamp_punch"
14,entity_child_base,"entity_code,timestamp_punch,token"
15,entity_key_value,"coach_id,timestamp_punch"
16,exav_addon_date,"parent_id,exa_token,user_id,timestamp_punch,exa_value"
17,exav_addon_decimal,"parent_id,exa_token,user_id,timestamp_punch"
18,exav_addon_ec_id,"parent_id,exa_token,user_id,timestamp_punch"
19,exav_addon_exa_token,"parent_id,exa_token,user_id,timestamp_punch,exa_value_token"
20,exav_addon_num,"parent_id,exa_token,user_id,timestamp_punch"
21,exav_addon_text,"parent_id,exa_token,user_id,timestamp_punch"
22,exav_addon_varchar,"parent_id,exa_token,user_id,timestamp_punch"
23,exav_addon_vc128uniq,"parent_id,exa_token,user_id,timestamp_punch"
24,status_info,"timestamp_punch,status_code"
25,status_map,timestamp_punch
26,user_info,"user_role_id,timestamp_punch"
27,user_role,timestamp_punch
28,user_role_permission,timestamp_punch
29,sys_log,timestamp_punch
30,user_info_log,timestamp_punch
31,user_role_permission_matrix,"user_role_id,timestamp_punch"
